Workout_ID,Main Goal,Workout Type,Training Level,Program Duration,Days Per Week,Time Per Workout,Equipment Required_x,Target Gender,Exercise,Sets,Reps,Target Muscle Group,Exercise Type,Equipment Required_y,Mechanics,Force Type,Experience Level,Secondary Muscles,Exercise Type ID,Larger Body Parts
159,0,1,1,3,5,0.0,8,0,131,1.0,1.0,1,0,5,1,1.0,1.0,1,130,1.0
159,0,1,1,3,5,0.0,8,0,85,4.0,38.0,4,0,0,0,1.0,1.0,20,3,3.0
159,0,1,1,3,5,0.0,8,0,138,1.0,1.0,4,0,2,1,0.0,0.0,20,129,3.0
159,0,1,1,3,5,0.0,8,0,139,1.0,1.0,4,0,2,1,0.0,1.0,81,26,3.0
159,0,1,1,3,5,0.0,8,0,25,4.0,40.0,8,0,2,0,1.0,1.0,8,7,1.0
159,0,1,1,3,5,0.0,8,0,140,1.0,9.0,8,0,5,1,7.0,0.0,27,16,1.0
159,0,1,1,3,5,0.0,8,0,63,4.0,1.0,2,0,5,0,3.0,1.0,18,124,2.0
159,0,1,1,3,5,0.0,8,0,110,1.0,1.0,2,0,0,0,2.0,1.0,2,4,2.0
159,0,1,1,3,5,0.0,8,0,141,1.0,9.0,2,0,0,0,2.0,1.0,28,51,2.0
159,0,1,1,3,5,0.0,8,0,142,1.0,5.0,8,0,3,0,2.0,1.0,29,90,1.0
